Singar               has given Weibble a leather backpack, masterfully tanned from lion.
Weibble              has given Singar a leather backpack, masterfully tanned from lion.
Singar               has given Weibble a haversack with a golden-brown mane around the opening.
Weibble              has given Singar a haversack with a golden-brown mane around the opening.
Singar               has given Weibble a haversack with a shaggy golden-brown mane.
Singar               has given Weibble a sheath, masterfully tanned from lion.
Singar               has given Weibble a sheath, masterfully tanned from lion.
Singar               has given Weibble a sheath, masterfully tanned from lion.
Singar               has given Weibble a sheath, masterfully tanned from lion.
Singar               has given Weibble a sheath, masterfully tanned from lion.
Weibble              has given Singar a sheath, masterfully tanned from lion.
Singar               has given Weibble a shoulder strap lined with thick fur.
Weibble              has given Althea a staff, properly milled from light-brown fir lumber.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Kimel                has given Weibble a white faintly glowing aura.
& RHappy Halloween
&RHappy Halloween
Kimel                has given Weibble a thin titanium mask with a wide grin.
Kimel                has given Weibble a pair of blackened out lenses set in titanium frames.
Voluntas             has given Kimel &r8=||&za-&cp&pi&pe&cr&zc&wi&wn&cg&z==&cg&cl&za&pn&pc&we&r>>>>>.
Kimel                has given Voluntas &r8=||&za-&cp&pi&pe&cr&zc&wi&wn&cg&z==&cg&cl&za&pn&pc&we&r>>>>>.
Kimel                has given Weibble a plated-gauntlets, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a ornate-ring, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a ornate-ring, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a plate-anklets, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a plate-anklets, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
Weibble              has given Kimel a plate-anklets, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a plate-anklets, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a ornate-ring, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a ornate-ring, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a plate-girdle, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a plated-gauntlets, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a loaf of wheat bread.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a loaf of wheat bread.
Kimel                has given Weibble a pair of gloves with light-green titanium knuckle spikes.
Kimel                has given Weibble a dark red sash, knotted on the right hip.
Kimel                has given Weibble a orange band of fiery light.
Kimel                has given Weibble a light blue band of ice.
Weibble              has given Kimel a light blue band of ice.
Kimel                has given Weibble a white jagged band of crackling lightning.
Kimel                has given Weibble an ankle bracelet of black marble with white veins.
Kimel                has given Weibble a blue ankle bracelet made of flowing water.
Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
Alliance Leader Rodaen has given Weibble a pair of thick leather gloves.
Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
